Similarity between 2 and 3: 0.5094378612706132, type: <class 'float'>
Similarity between 2 and 4: 0.3958191401935133, type: <class 'float'>
Similarity between 2 and 8: 0.6224111895994882, type: <class 'float'>
Similarity between 2 and 10: 0.4325316109640073, type: <class 'float'>
Similarity between 2 and 12: 0.6571823085513664, type: <class 'float'>
Similarity between 2 and 13: 0.5719479540333445, type: <class 'float'>
Similarity between 2 and 14: 0.5535946326147486, type: <class 'float'>
Similarity between 2 and 15: 0.6275964837297299, type: <class 'float'>
Similarity between 2 and 16: 0.49820954877087453, type: <class 'float'>
Similarity between 2 and 17: 0.5166738926751875, type: <class 'float'>
Similarity between 2 and 18: 0.6522017535185582, type: <class 'float'>
Similarity between 2 and 19: 0.5439333615245525, type: <class 'float'>
Similarity between 2 and 23: 0.38213698392152545, type: <class 'float'>
Similarity between 2 and 24: 0.49856662398681795, type: <class 'float'>
Similarity between 2 and 25: 0.6700228148945602, type: <class 'float'>
Similarity between 2 and 26: 0.6016401746092005, type: <class 'float'>
Similarity between 2 and 29: 0.4207421215033251, type: <class 'float'>
Similarity between 2 and 32: 0.3977123652231448, type: <class 'float'>
Similarity between 2 and 33: 0.5052757031036257, type: <class 'float'>
Similarity between 2 and 35: 0.4765986277420984, type: <class 'float'>
Similarity between 2 and 36: 0.42110910896055376, type: <class 'float'>
Similarity between 2 and 37: 0.6154250395607539, type: <class 'float'>
Similarity between 2 and 39: 0.47881812731297735, type: <class 'float'>
Similarity between 2 and 41: 0.5778365504202593, type: <class 'float'>
Similarity between 2 and 42: 0.49934808371550876, type: <class 'float'>
Similarity between 2 and 43: 0.5101832244888516, type: <class 'float'>
Similarity between 2 and 45: 0.45892131935049335, type: <class 'float'>
Similarity between 2 and 51: 0.43171843629247864, type: <class 'float'>
Similarity between 2 and 57: 0.453995188266452, type: <class 'float'>
Similarity between 2 and 58: 0.39545076547831504, type: <class 'float'>
Similarity between 3 and 4: 0.46050240553333344, type: <class 'float'>
Similarity between 3 and 8: 0.6827947972643352, type: <class 'float'>
Similarity between 3 and 10: 0.5858334287766336, type: <class 'float'>
Similarity between 3 and 12: 0.47397312567054045, type: <class 'float'>
Similarity between 3 and 13: 0.47122877487347764, type: <class 'float'>
Similarity between 3 and 14: 0.42792837099664405, type: <class 'float'>
Similarity between 3 and 15: 0.524021268379393, type: <class 'float'>
Similarity between 3 and 16: 0.5555173000924352, type: <class 'float'>
Similarity between 3 and 17: 0.4666156891983865, type: <class 'float'>
Similarity between 3 and 18: 0.5568123475874309, type: <class 'float'>
Similarity between 3 and 19: 0.6003560513096614, type: <class 'float'>
Similarity between 3 and 23: 0.49171381237042683, type: <class 'float'>
Similarity between 3 and 24: 0.9449844731224581, type: <class 'float'>
Similarity between 3 and 25: 0.6501663323602817, type: <class 'float'>
Similarity between 3 and 26: 0.4134415284445638, type: <class 'float'>
Similarity between 3 and 29: 0.6619446517349391, type: <class 'float'>
Similarity between 3 and 32: 0.4689747384578967, type: <class 'float'>
Similarity between 3 and 33: 0.619656217314932, type: <class 'float'>
Similarity between 3 and 35: 0.6790880895706182, type: <class 'float'>
Similarity between 3 and 36: 0.46418815789264767, type: <class 'float'>
Similarity between 3 and 37: 0.4421751278287218, type: <class 'float'>
Similarity between 3 and 39: 0.5418194489635492, type: <class 'float'>
Similarity between 3 and 41: 0.5312231105626053, type: <class 'float'>
Similarity between 3 and 42: 0.4423616880523433, type: <class 'float'>
Similarity between 3 and 43: 0.694157685133746, type: <class 'float'>
Similarity between 3 and 45: 0.48750417185847433, type: <class 'float'>
Similarity between 3 and 51: 0.46045179126120533, type: <class 'float'>
Similarity between 3 and 57: 0.6517189616549552, type: <class 'float'>
Similarity between 3 and 58: 0.4529299794619769, type: <class 'float'>
Similarity between 4 and 8: 0.5922691083590382, type: <class 'float'>
Similarity between 4 and 10: 0.4569175352164736, type: <class 'float'>
Similarity between 4 and 12: 0.3710597351163549, type: <class 'float'>
Similarity between 4 and 13: 0.37909106421911726, type: <class 'float'>
Similarity between 4 and 14: 0.3826810914705284, type: <class 'float'>
Similarity between 4 and 15: 0.4502798340488433, type: <class 'float'>
Similarity between 4 and 16: 0.6057470144514621, type: <class 'float'>
Similarity between 4 and 17: 0.5119850484502695, type: <class 'float'>
Similarity between 4 and 18: 0.3386477674295323, type: <class 'float'>
Similarity between 4 and 19: 0.58166644646232, type: <class 'float'>
Similarity between 4 and 23: 0.7040459038630247, type: <class 'float'>
Similarity between 4 and 24: 0.4301997293472003, type: <class 'float'>
Similarity between 4 and 25: 0.2997905578178488, type: <class 'float'>
Similarity between 4 and 26: 0.3896335622776269, type: <class 'float'>
Similarity between 4 and 29: 0.5301710939055784, type: <class 'float'>
Similarity between 4 and 32: 0.7338207535436428, type: <class 'float'>
Similarity between 4 and 33: 0.3928549604146171, type: <class 'float'>
Similarity between 4 and 35: 0.58887501049036, type: <class 'float'>
Similarity between 4 and 36: 0.3203310121105717, type: <class 'float'>
Similarity between 4 and 37: 0.4136482186709763, type: <class 'float'>
Similarity between 4 and 39: 0.3634387254082285, type: <class 'float'>
Similarity between 4 and 41: 0.37291608105235596, type: <class 'float'>
Similarity between 4 and 42: 0.30873590487087943, type: <class 'float'>
Similarity between 4 and 43: 0.45918618150809326, type: <class 'float'>
Similarity between 4 and 45: 0.3124595254233799, type: <class 'float'>
Similarity between 4 and 51: 0.30708823761409115, type: <class 'float'>
Similarity between 4 and 57: 0.45060971420473117, type: <class 'float'>
Similarity between 4 and 58: 0.6966300006138628, type: <class 'float'>
Similarity between 8 and 10: 0.5427237214910079, type: <class 'float'>
Similarity between 8 and 12: 0.5070375856940104, type: <class 'float'>
Similarity between 8 and 13: 0.4901948527220261, type: <class 'float'>
Similarity between 8 and 14: 0.49399338503322515, type: <class 'float'>
Similarity between 8 and 15: 0.5737332611050999, type: <class 'float'>
Similarity between 8 and 16: 0.646940891826955, type: <class 'float'>
Similarity between 8 and 17: 0.5145064615342407, type: <class 'float'>
Similarity between 8 and 18: 0.5786199758200772, type: <class 'float'>
Similarity between 8 and 19: 0.6122247911608734, type: <class 'float'>
Similarity between 8 and 23: 0.5649367521678331, type: <class 'float'>
Similarity between 8 and 24: 0.6585721269698637, type: <class 'float'>
Similarity between 8 and 25: 0.6475039896315036, type: <class 'float'>
Similarity between 8 and 26: 0.4817653234353074, type: <class 'float'>
Similarity between 8 and 29: 0.5804665234564994, type: <class 'float'>
Similarity between 8 and 32: 0.6394714445528364, type: <class 'float'>
Similarity between 8 and 33: 0.49275618685890865, type: <class 'float'>
Similarity between 8 and 35: 0.5708570306538414, type: <class 'float'>
Similarity between 8 and 36: 0.4324872857320252, type: <class 'float'>
Similarity between 8 and 37: 0.48775604333367195, type: <class 'float'>
Similarity between 8 and 39: 0.49442529299331356, type: <class 'float'>
Similarity between 8 and 41: 0.5044413259588054, type: <class 'float'>
Similarity between 8 and 42: 0.4064561003842225, type: <class 'float'>
Similarity between 8 and 43: 0.56790125232736, type: <class 'float'>
Similarity between 8 and 45: 0.44275475247497675, type: <class 'float'>
Similarity between 8 and 51: 0.4301791534619162, type: <class 'float'>
Similarity between 8 and 57: 0.5942020273962483, type: <class 'float'>
Similarity between 8 and 58: 0.5775661676076711, type: <class 'float'>
Similarity between 10 and 12: 0.4526538528329973, type: <class 'float'>
Similarity between 10 and 13: 0.4160153667694641, type: <class 'float'>
Similarity between 10 and 14: 0.42389786971533283, type: <class 'float'>
Similarity between 10 and 15: 0.49765884666288185, type: <class 'float'>
Similarity between 10 and 16: 0.45307155651114733, type: <class 'float'>
Similarity between 10 and 17: 0.48388136498782686, type: <class 'float'>
Similarity between 10 and 18: 0.46378157677952725, type: <class 'float'>
Similarity between 10 and 19: 0.5309004615444738, type: <class 'float'>
Similarity between 10 and 23: 0.39975636352393684, type: <class 'float'>
Similarity between 10 and 24: 0.5455217854869161, type: <class 'float'>
Similarity between 10 and 25: 0.43030948800724633, type: <class 'float'>
Similarity between 10 and 26: 0.39327646915390513, type: <class 'float'>
Similarity between 10 and 29: 0.4725846517822312, type: <class 'float'>
Similarity between 10 and 32: 0.526171945466225, type: <class 'float'>
Similarity between 10 and 33: 0.6148814644551007, type: <class 'float'>
